firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed,X1,X2,X3,X4,X5,zscore,zscore_zone,in_distress,in_grey,in_safe,log_assets,leverage,liquidity,roa,revenue_growth,zscore_lag1
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2020,8766950846820.0,52.378,78.56700000000001,8407781.0,289.0,365.411,224309.0,3309.178,SID,2000,-2.987241568657755e-12,9.590313835339593e-07,3.296471088403875e-11,9.056043742525539,2.5585748559473524e-08,5.4336276138502075,Safe,0,0,1,29.802010181905843,4.168051200293247e-11,0.6666666666666666,3.296471088403875e-11,1.0,6.000035183872891
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2021,2538.0,2030.4,3045.6000000000004,149677534.84,166.734,2284.2000000000003,1823289.92,10.0,SID,2000,-0.40000000000000013,2.0,0.06569503546099291,0.004377900358987829,5.0,7.539420357236669,Safe,0,0,1,7.839131648274333,0.9000000000000001,0.6666666666666666,0.06569503546099291,1.0,5.4336276138502075
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2022,580.636,408.384,78.214,2245237.09,162.793,424.52,823.289,312.232,SID,2000,0.5686350829090859,2.0,0.28037014584007885,0.7354942052200133,1.4179089825639473,6.266789086459118,Safe,0,0,1,6.364124054490907,0.731129313373611,5.221367018692306,0.28037014584007885,-0.5,7.539420357236669
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2023,883.177,706.5416,436.536,42.858,116.941,624.512,116.572,517.3300000000002,SID,2000,0.30572082379862703,0.04852707894340545,0.13240947171405051,0.8283747950399676,0.13199166192054368,1.500770694680011,Distress,1,0,0,6.783525633517074,0.7071198638551501,1.6185185185185185,0.13240947171405051,-0.5,6.266789086459118
MAR011,SONASID,Materiaux de construction,Rabat-Sale-Kenitra,2024,53057654883177.0,26.071,39.106500000000004,3042858.26,222327116941.0,811.424,116.572,106115309764731.16,SID,2000,-2.4568556655400107e-13,5.73500330291605e-08,0.004190292945108912,10.0,2.1970816512088533e-12,6.013828047010808,Safe,0,0,1,31.60240026620903,1.5293250366730368e-11,0.6666666666666666,0.004190292945108912,0.0,1.500770694680011
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2020,31.0,24.8,37.2,30600000.0,5234489911.5,27.900000000000002,849909893.0,10.0,ALM,2000,-0.4000000000000001,2.0,2.0,0.35842293906810035,5.0,14.13505376344086,Safe,0,0,1,3.4339872044851463,0.9,0.6666666666666666,1.0,,
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2021,1235.2,988.16,251.1,31.0,30763496.0,1111.68,848.9,10.0,ALM,2000,0.5967130829015543,0.025097150259067356,2.0,0.008995394358088658,0.6872571243523315,8.043846070811744,Safe,0,0,1,7.118988179270512,0.9,3.9353245718837115,1.0,-0.5,14.13505376344086
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2022,1235.2,988.16,1482.24,31.0,92.9,31.0,908.7,161.116,ALM,2000,-0.4,0.025097150259067356,0.07521049222797928,5.1972903225806455,0.7356703367875648,3.657375165050978,Safe,0,0,1,7.118988179270512,0.025097150259067356,0.6666666666666666,0.07521049222797928,0.07044410413476276,8.043846070811744
MAR013,Aluminium du Maroc,Materiaux de construction,Casablanca-Settat,2023,1235.2,988.16,1482.24,31.0,80.0,1111.68,67722287.7,517.3300000000002,ALM,2000,-0.4,0.025097150259067356,0.06476683937823834,0.4653587363270007,5.0,5.048081822107081,Safe,0,0,1,7.118988179270512,0.9,0.6666666666666666,0.06476683937823834,1.0,3.657375165050978
MAR014,Nexans Maroc,Materiaux de construction,Casablanca-Settat,2019,35343763931698.0,767938792.41,624310889.03,158550000.0,7953481969.0,976710907.45,16040931.48,70679155125367.2,NEX,2000,4.063741022534035e-06,4.48593987630742e-06,0.00022503211554859135,10.0,4.538546463528667e-07,6.000754216641011,Safe,0,0,1,31.196143083421997,2.763460364146554e-05,1.2300583025280185,0.00022503211554859135,,
MAR014,Nexans Maroc,Materiaux de construction,Casablanca-Settat,2020,17533901693609.0,689414720.68,666157600.0,258167033.08,10468979534.0,1006958511.98,46707906.14,35065789470194.04,NEX,2000,1.3264087529632396e-06,1.4723878209839646e-05,0.0005970707328543925,10.0,2.663862667658548e-06,6.001995202401084,Safe,0,0,1,30.49515736246402,5.7429232214016017e-05,1.0349123400828872,0.0005970707328543925,1.0,6.000754216641011
MAR015,Managem,Energie & Mines,Casablanca-Settat,2019,12450.3,9960.24,14940.36,1581.0,885.0,182.8,199.5,26988.500000000004,MNG,2000,-0.4000000000000001,0.12698489193031495,0.07108262451507193,10.0,0.01602371027204164,5.94837521987422,Safe,0,0,1,9.429499997988083,0.014682377131474746,0.6666666666666666,0.07108262451507193,,
MAR015,Managem,Energie & Mines,Casablanca-Settat,2020,13661.8,607.744,50.0,1619.0,522.1,146.126,7264.553,29734.4828,MNG,2000,0.04082507429474887,0.11850561419432286,0.03821604766575415,10.0,0.5317420105696175,6.872752916892357,Safe,0,0,1,9.522358896039567,0.010695955145002855,10.0,0.03821604766575415,1.0,5.94837521987422
MAR015,Managem,Energie & Mines,Casablanca-Settat,2021,13661.8,10929.44,16394.16,2019.0,317.4,12295.619999999999,28666.0,63172902954872.86,MNG,2000,-0.39999999999999997,0.14778433295758978,0.0232326633386523,10.0,2.098259380169524,7.901825235327702,Safe,0,0,1,9.522358896039567,0.9,0.6666666666666667,0.0232326633386523,1.0,6.872752916892357
