firm_id,firm_name,ticker,sector,region,year,zscore,in_distress,zscore_lag1,X1,X2,X3,X4,X5,spei12_mean,spei12_min,drought_months,carbon_burden_low,carbon_burden_mid,carbon_burden_high,spei_x_carbon,log_assets,leverage,liquidity,roa,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,sec_Chimie & Parachimie,sec_Distribution & Commerce,sec_Energie & Mines,sec_Immobilier,sec_Industrie (autres),sec_Materiaux de construction,sec_Telecom & Technologies,sec_Transport & Logistique
MAR002,Lesieur Cristal,LES,Agro-alimentaire & Boissons,Casablanca-Settat,2023,2.322931395211125,0,3.0567099820268737,-0.4,2.0,0.0008848861806706,2.1201683430625738e-07,1.1143604811136887e-05,-1.624,-2.126,6,0.027475,0.05495,0.082425,-0.08923880000000001,17.774545766973862,0.9,0.6666666666666666,0.0008848861806706,16.0454,32.0908,48.1362,False,False,False,False,False,False,False,False
MAR002,Lesieur Cristal,LES,Agro-alimentaire & Boissons,Casablanca-Settat,2024,3.912737062936712,0,2.322931395211125,-0.4,2.0,0.4826474205403908,2.090706733305017e-07,4.497110183339091e-07,-0.368,-1.164,1,0.027475,0.05495,0.082425,-0.0202216,17.78853910088656,0.9,0.6666666666666666,0.4826474205403908,0.6566525,1.313305,1.9699575,False,False,False,False,False,False,False,False
MAR003,Centrale Danone,CDM,Agro-alimentaire & Boissons,Casablanca-Settat,2019,2.320243702086429,0,,-0.3999999999999998,2.0,-1.7920462185121533e-06,3.374851635616108e-07,0.0002494133478527,-0.057,-0.884,2,0.027475,0.05495,0.082425,-0.00313215,17.309689896069408,0.9,0.6666666666666667,-1.7920462185121533e-06,225.6109625,451.221925,676.8328875,False,False,False,False,False,False,False,False
MAR003,Centrale Danone,CDM,Agro-alimentaire & Boissons,Casablanca-Settat,2020,2.3201412395942334,0,2.320243702086429,-0.4000000000000001,2.0,2.1689761304796548e-06,3.442819254729611e-07,0.0001338754038478,0.283,-0.132,0,0.027475,0.05495,0.082425,0.015550849999999998,17.289750573079772,0.9,0.6666666666666666,2.1689761304796548e-06,118.708485,237.41697,356.12545500000004,False,False,False,False,False,False,False,False
MAR005,Dari Couspate,DAR,Agro-alimentaire & Boissons,Casablanca-Settat,2019,7.320142111665584,0,,-0.4000000000000001,2.0,4.293988806229596e-05,6.833916312523727e-07,5.0,-0.057,-0.884,2,0.027475,0.05495,0.082425,-0.00313215,16.604143351745112,0.8999999999999999,0.6666666666666666,4.293988806229596e-05,17314506.161748253,34629012.323496506,51943518.48524475,False,False,False,False,False,False,False,False
MAR009,LafargeHolcim Maroc,LHM,Materiaux de construction,Casablanca-Settat,2019,7.256557490004882,0,,-0.180346840140095,0.1062852520988073,2.0,6.9009634498379e-09,0.7241743410940887,-0.057,-0.884,2,0.12595,0.2519,0.37785,-0.014358300000000001,21.1995504133312,0.9,0.6666666666666666,1.0,146855111.72750002,293710223.45500004,440565335.1825,False,False,False,False,False,True,False,False
MAR009,LafargeHolcim Maroc,LHM,Materiaux de construction,Casablanca-Settat,2021,0.3484425141688207,1,7.256557490004882,0.0693724577458221,0.1012412746168647,0.0029964465087511,1.0822518382577527e-09,0.1135695062819936,-0.975,-1.804,5,0.12595,0.2519,0.37785,-0.2456025,23.05216753970791,0.8999999999999999,10.0,0.0029964465087511,146855111.72750002,293710223.45500004,440565335.1825,False,False,False,False,False,True,False,False
MAR009,LafargeHolcim Maroc,LHM,Materiaux de construction,Casablanca-Settat,2022,13.925397236614852,0,0.3484425141688207,-0.4000000000000001,2.0,2.0,0.0089953943580886,5.0,-1.207,-2.073,4,0.12595,0.2519,0.3778500000000001,-0.3040433,7.118988179270512,0.9,0.6666666666666666,1.0,193848747.4803,387697494.9606,581546242.4409001,False,False,False,False,False,True,False,False
MAR009,LafargeHolcim Maroc,LHM,Materiaux de construction,Casablanca-Settat,2023,15.253333333333334,0,13.925397236614852,-0.4,2.0,2.0,2.2222222222222223,5.0,-1.624,-2.126,6,0.12595,0.2519,0.3778500000000001,-0.40908560000000005,1.6094379124341005,0.9,0.6666666666666666,1.0,193848747.4803,387697494.9606,581546242.4409001,False,False,False,False,False,True,False,False
MAR009,LafargeHolcim Maroc,LHM,Materiaux de construction,Casablanca-Settat,2024,0.3452022391479012,1,15.253333333333334,0.0635659243680515,0.1141561653432707,0.0029433818440376,1.0980733934778802e-09,0.0993913376814921,-0.368,-1.164,1,0.12595,0.2519,0.37785,-0.09269920000000001,23.0376542618688,0.9,10.0,0.0029433818440376,126669725.5123575,253339451.024715,380009176.5370725,False,False,False,False,False,True,False,False
MAR010,Ciments du Maroc,CMA,Materiaux de construction,Souss-Massa,2019,8.459926867091655,0,,-2.3463746934844e-06,5.881956435591739e-07,0.634751677942342,10.0,0.365248322057658,-0.755,-1.228,4,0.12595,0.2519,0.37785,-0.1901845,31.75197655417826,0.0001606692673288,0.8536738675856412,0.634751677942342,2834618441961.5923,5669236883923.185,8503855325884.776,False,False,False,False,False,True,False,False
MAR010,Ciments du Maroc,CMA,Materiaux de construction,Souss-Massa,2021,0.0076509213894046,1,8.459926867091655,-4.608888260113907e-06,4.252596148531111e-06,0.0022992385589936,9.43466550461638e-10,6.30106099497761e-05,-1.714,-2.031,5,0.12595,0.2519,0.37785,-0.4317566,31.68328860030401,0.0001842451587003,0.772046383881329,0.0022992385589936,456550962.975745,913101925.95149,1369652888.9272351,False,False,False,False,False,True,False,False
MAR010,Ciments du Maroc,CMA,Materiaux de construction,Souss-Massa,2022,7.555694483597704e-05,1,0.0076509213894046,2.526886653938908e-06,7.22251870619345e-06,3.046423349958427e-12,1.485078807749087e-08,6.240423413653597e-05,-2.421,-2.924,10,0.12595,0.2519,0.37785,-0.6098499,31.609532340673017,0.0002030222793782,1.1486861363823515,3.046423349958427e-12,420008133.424561,840016266.849122,1260024400.273683,False,False,False,False,False,True,False,False
MAR010,Ciments du Maroc,CMA,Materiaux de construction,Souss-Massa,2023,6.000012826522987,0,7.555694483597704e-05,2.343788162654584e-07,7.82118655188657e-06,2.5272404747399706e-07,10.0,7.616178778836158e-07,-1.884,-2.385,7,0.12595,0.2519,0.37785,-0.4745796,31.529899807991868,4.1044171403127305e-06,1.012641552567539,2.5272404747399706e-07,4733657.1909,9467314.3818,14200971.5727,False,False,False,False,False,True,False,False
