time,lat,lon,spei12
2000-01-16,32.75,-3.25,-1.2850538
2000-01-16,32.75,-2.75,-1.0342947
2000-01-16,32.75,-2.25,-1.1502277
2000-01-16,32.75,-1.75,-0.9931253
2000-01-16,32.75,-1.25,-1.1697687
2000-01-16,33.25,-8.75,-0.3289464
2000-01-16,33.25,-8.25,-0.45199525
2000-01-16,33.25,-7.75,-0.5443036
2000-01-16,33.25,-7.25,-0.66664886
2000-01-16,33.25,-6.75,-0.917173
2000-01-16,33.25,-6.25,-1.1313504
2000-01-16,33.25,-5.75,-1.2824527
2000-01-16,33.25,-5.25,-1.294262
2000-01-16,33.25,-4.75,-1.3048137
2000-01-16,33.25,-4.25,-1.3451493
2000-01-16,33.25,-3.75,-1.2726679
2000-01-16,33.25,-3.25,-1.3070579
2000-01-16,33.25,-2.75,-1.2277492
2000-01-16,33.25,-2.25,-1.0538498
2000-01-16,33.25,-1.75,-1.169184
2000-01-16,33.25,-1.25,-1.268273
2000-01-16,33.75,-7.75,-0.6319369
2000-01-16,33.75,-7.25,-0.8046142
2000-01-16,33.75,-6.75,-1.2207501
2000-01-16,33.75,-6.25,-1.3282921
2000-01-16,33.75,-5.75,-1.4212884
2000-01-16,33.75,-5.25,-1.4019998
2000-01-16,33.75,-4.75,-1.2700499
2000-01-16,33.75,-4.25,-1.1930702
2000-01-16,33.75,-3.75,-1.2916812
2000-01-16,33.75,-3.25,-1.3048503
2000-01-16,33.75,-2.75,-1.3196652
2000-01-16,33.75,-2.25,-1.3110418
2000-01-16,33.75,-1.75,-1.1874381
2000-01-16,33.75,-1.25,-1.1400636
2000-01-16,34.25,-6.75,-1.1600207
2000-01-16,34.25,-6.25,-1.3029248
2000-01-16,34.25,-5.75,-1.4565175
2000-01-16,34.25,-5.25,-1.315606
2000-01-16,34.25,-4.75,-1.3092294
2000-01-16,34.25,-4.25,-1.216119
2000-01-16,34.25,-3.75,-1.2166682
2000-01-16,34.25,-3.25,-1.20198
2000-01-16,34.25,-2.75,-1.244816
2000-01-16,34.25,-2.25,-1.1993223
2000-01-16,34.25,-1.75,-1.1774485
2000-01-16,34.25,-1.25,-1.2010615
2000-01-16,34.75,-6.25,-1.2408229
2000-01-16,34.75,-5.75,-1.3683566
2000-01-16,34.75,-5.25,-1.3568914
2000-01-16,34.75,-4.75,-1.3028615
2000-01-16,34.75,-4.25,-1.3337665
2000-01-16,34.75,-3.75,-1.3253158
2000-01-16,34.75,-3.25,-1.2853432
2000-01-16,34.75,-2.75,-1.2063887
2000-01-16,34.75,-2.25,-1.0959352
2000-01-16,34.75,-1.75,-1.0730329
2000-01-16,34.75,-1.25,-1.2284577
2000-01-16,35.25,-6.25,-1.1241901
2000-01-16,35.25,-5.75,-1.2979167
2000-01-16,35.25,-5.25,-1.493532
2000-01-16,35.25,-4.75,-1.2293196
2000-01-16,35.25,-4.25,-1.0633376
2000-01-16,35.25,-3.75,-1.1343925
2000-01-16,35.25,-3.25,-0.9055501
2000-01-16,35.25,-2.75,-0.858084
2000-01-16,35.25,-2.25,-0.8485174
2000-01-16,35.25,-1.75,-1.0329355
2000-01-16,35.25,-1.25,-1.1384904
2000-01-16,35.75,-5.75,-1.0954275
2000-01-16,35.75,-5.25,-1.3008773
2000-01-16,35.75,-1.25,-0.8719906
2000-02-15,27.25,-13.25,-0.66667265
2000-02-15,27.25,-12.75,-0.7266324
2000-02-15,27.25,-12.25,-0.9830054
2000-02-15,27.25,-11.75,-1.0619314
2000-02-15,27.25,-11.25,-1.0561193
2000-02-15,27.25,-10.75,-1.2958739
2000-02-15,27.25,-10.25,-1.4073261
2000-02-15,27.25,-9.75,-1.3168253
2000-02-15,27.25,-9.25,-1.2932198
2000-02-15,27.25,-8.75,-1.3143088
2000-02-15,27.25,-8.25,-1.4341985
2000-02-15,27.25,-7.75,-1.3291887
2000-02-15,27.25,-7.25,-1.2005262
2000-02-15,27.25,-6.75,-1.1232026
2000-02-15,27.25,-6.25,-0.8276512
2000-02-15,27.25,-5.75,-0.77322024
2000-02-15,27.25,-5.25,-0.64883053
2000-02-15,27.25,-4.75,-0.6777138
2000-02-15,27.25,-4.25,-0.833169
2000-02-15,27.25,-3.75,-0.6564879
2000-02-15,27.25,-3.25,-0.73123765
2000-02-15,27.25,-2.75,-0.73276544
2000-02-15,27.25,-2.25,-0.8626649
2000-02-15,27.25,-1.75,-0.77721256
2000-02-15,27.25,-1.25,-0.5533563
2000-02-15,27.75,-15.75,-0.31801578
2000-02-15,27.75,-15.25,-0.37566295
2000-02-15,27.75,-13.25,-0.8199409
2000-02-15,27.75,-12.75,-0.8347679
2000-02-15,27.75,-12.25,-0.9726668
2000-02-15,27.75,-11.75,-1.0048106
2000-02-15,27.75,-11.25,-1.270776
2000-02-15,27.75,-10.75,-1.3978417
2000-02-15,27.75,-10.25,-1.3102808
2000-02-15,27.75,-9.75,-1.3685834
2000-02-15,27.75,-9.25,-1.278116
2000-02-15,27.75,-8.75,-1.3055325
2000-02-15,27.75,-8.25,-1.2126501
2000-02-15,27.75,-7.75,-1.3595952
2000-02-15,27.75,-7.25,-1.0342932
2000-02-15,27.75,-6.75,-0.99469894
2000-02-15,27.75,-6.25,-0.95246035
2000-02-15,27.75,-5.75,-0.5261386
2000-02-15,27.75,-5.25,-0.58690566
2000-02-15,27.75,-4.75,-0.7430221
2000-02-15,27.75,-4.25,-0.6590418
2000-02-15,27.75,-3.75,-0.76361406
2000-02-15,27.75,-3.25,-0.9916474
2000-02-15,27.75,-2.75,-1.0353478
2000-02-15,27.75,-2.25,-0.8588807
2000-02-15,27.75,-1.75,-0.9638652
2000-02-15,27.75,-1.25,-0.74175423
2000-02-15,28.25,-16.75,-0.33458808
2000-02-15,28.25,-16.25,-0.25721747
2000-02-15,28.25,-15.75,-0.2514788
2000-02-15,28.25,-15.25,-0.353836
2000-02-15,28.25,-14.25,-0.5149021
2000-02-15,28.25,-13.75,-0.7705209
2000-02-15,28.25,-12.25,-0.9766949
2000-02-15,28.25,-11.75,-1.2443099
2000-02-15,28.25,-11.25,-1.2712575
2000-02-15,28.25,-10.75,-1.2172251
2000-02-15,28.25,-10.25,-1.3573453
2000-02-15,28.25,-9.75,-1.2569124
2000-02-15,28.25,-9.25,-1.1996979
2000-02-15,28.25,-8.75,-1.1659641
2000-02-15,28.25,-8.25,-1.1346828
2000-02-15,28.25,-7.75,-0.9987018
2000-02-15,28.25,-7.25,-1.0316987
2000-02-15,28.25,-6.75,-0.72078663
2000-02-15,28.25,-6.25,-0.6511027
2000-02-15,28.25,-5.75,-0.5290076
2000-02-15,28.25,-5.25,-0.29615045
2000-02-15,28.25,-4.75,-0.30673313
2000-02-15,28.25,-4.25,-0.54021126
2000-02-15,28.25,-3.75,-0.60994744
2000-02-15,28.25,-3.25,-0.7217469
2000-02-15,28.25,-2.75,-0.92389506
2000-02-15,28.25,-2.25,-1.1022671
2000-02-15,28.25,-1.75,-1.2750221
2000-02-15,28.25,-1.25,-1.1849514
2000-02-15,28.75,-16.25,-0.33375263
2000-02-15,28.75,-13.75,-0.70319813
2000-02-15,28.75,-11.25,-1.2517458
2000-02-15,28.75,-10.75,-1.2214385
2000-02-15,28.75,-10.25,-1.1192673
2000-02-15,28.75,-9.75,-1.0726998
2000-02-15,28.75,-9.25,-1.0300285
2000-02-15,28.75,-8.75,-0.9726498
2000-02-15,28.75,-8.25,-1.0861068
2000-02-15,28.75,-7.75,-1.0884726
2000-02-15,28.75,-7.25,-0.803871
2000-02-15,28.75,-6.75,-0.66079414
2000-02-15,28.75,-6.25,-0.5830123
2000-02-15,28.75,-5.75,-0.15569642
2000-02-15,28.75,-5.25,-0.38171545
2000-02-15,28.75,-4.75,-0.45295864
2000-02-15,28.75,-4.25,-0.6920004
2000-02-15,28.75,-3.75,-0.56347495
2000-02-15,28.75,-3.25,-1.1144109
2000-02-15,28.75,-2.75,-1.0925491
2000-02-15,28.75,-2.25,-1.241371
2000-02-15,28.75,-1.75,-1.130194
2000-02-15,28.75,-1.25,-1.1254153
2000-02-15,29.25,-13.75,-0.78366727
2000-02-15,29.25,-10.25,-0.9344943
2000-02-15,29.25,-9.75,-0.90069354
2000-02-15,29.25,-9.25,-0.8719427
2000-02-15,29.25,-8.75,-0.9305691
2000-02-15,29.25,-8.25,-0.9277979
2000-02-15,29.25,-7.75,-0.8638907
2000-02-15,29.25,-7.25,-0.5612452
2000-02-15,29.25,-6.75,-0.36512133
2000-02-15,29.25,-6.25,-0.22683145
2000-02-15,29.25,-5.75,-0.25035
2000-02-15,29.25,-5.25,-0.3823852
2000-02-15,29.25,-4.75,-0.44795898
2000-02-15,29.25,-4.25,-0.58499986
2000-02-15,29.25,-3.75,-0.68508977
2000-02-15,29.25,-3.25,-0.8877516
2000-02-15,29.25,-2.75,-1.1433201
2000-02-15,29.25,-2.25,-1.2747692
2000-02-15,29.25,-1.75,-1.1524425
2000-02-15,29.25,-1.25,-1.2808588
2000-02-15,29.75,-10.25,-0.9324457
2000-02-15,29.75,-9.75,-0.74267215
2000-02-15,29.75,-9.25,-0.8238687
2000-02-15,29.75,-8.75,-0.73797935
2000-02-15,29.75,-8.25,-0.55445176
2000-02-15,29.75,-7.75,-0.47089177
2000-02-15,29.75,-7.25,-0.2413442
2000-02-15,29.75,-6.75,-0.25673154
2000-02-15,29.75,-6.25,-0.094200864
2000-02-15,29.75,-5.75,-0.14234918
2000-02-15,29.75,-5.25,-0.4481427
2000-02-15,29.75,-4.75,-0.6652352
2000-02-15,29.75,-4.25,-0.7239896
2000-02-15,29.75,-3.75,-0.6042144
2000-02-15,29.75,-3.25,-0.95670694
2000-02-15,29.75,-2.75,-1.0326517
2000-02-15,29.75,-2.25,-1.2173389
2000-02-15,29.75,-1.75,-1.21254
2000-02-15,29.75,-1.25,-1.1224813
2000-02-15,30.25,-9.75,-0.67620087
2000-02-15,30.25,-9.25,-0.6925444
2000-02-15,30.25,-8.75,-0.69192135
2000-02-15,30.25,-8.25,-0.5575912
2000-02-15,30.25,-7.75,-0.4555538
2000-02-15,30.25,-7.25,-0.36551705
2000-02-15,30.25,-6.75,-0.43652678
2000-02-15,30.25,-6.25,-0.31723106
2000-02-15,30.25,-5.75,-0.38257635
2000-02-15,30.25,-5.25,-0.61512977
2000-02-15,30.25,-4.75,-0.7673248
2000-02-15,30.25,-4.25,-0.878394
2000-02-15,30.25,-3.75,-0.7863412
2000-02-15,30.25,-3.25,-0.93300724
2000-02-15,30.25,-2.75,-1.1175543
2000-02-15,30.25,-2.25,-1.1505518
2000-02-15,30.25,-1.75,-1.1355288
2000-02-15,30.25,-1.25,-1.2397408
2000-02-15,30.75,-9.75,-0.5414943
2000-02-15,30.75,-9.25,-0.53033495
2000-02-15,30.75,-8.75,-0.53257763
2000-02-15,30.75,-8.25,-0.48605603
2000-02-15,30.75,-7.75,-0.5747395
2000-02-15,30.75,-7.25,-0.5531419
2000-02-15,30.75,-6.75,-0.42726192
2000-02-15,30.75,-6.25,-0.5405803
2000-02-15,30.75,-5.75,-0.77796155
2000-02-15,30.75,-5.25,-0.7516102
2000-02-15,30.75,-4.75,-0.8993968
2000-02-15,30.75,-4.25,-1.0453248
2000-02-15,30.75,-3.75,-1.0712099
2000-02-15,30.75,-3.25,-1.122204
2000-02-15,30.75,-2.75,-1.0478762
2000-02-15,30.75,-2.25,-1.1360652
2000-02-15,30.75,-1.75,-0.95404494
2000-02-15,30.75,-1.25,-1.1370851
2000-02-15,31.25,-9.75,-0.40601566
2000-02-15,31.25,-9.25,-0.4823964
2000-02-15,31.25,-8.75,-0.6114416
2000-02-15,31.25,-8.25,-0.66090673
2000-02-15,31.25,-7.75,-0.74795717
2000-02-15,31.25,-7.25,-0.7218211
2000-02-15,31.25,-6.75,-0.91757566
2000-02-15,31.25,-6.25,-1.1296507
2000-02-15,31.25,-5.75,-1.246716
2000-02-15,31.25,-5.25,-1.1832922
2000-02-15,31.25,-4.75,-1.2380941
2000-02-15,31.25,-4.25,-1.1765118
2000-02-15,31.25,-3.75,-1.2974854
2000-02-15,31.25,-3.25,-1.2380126
2000-02-15,31.25,-2.75,-1.1713694
2000-02-15,31.25,-2.25,-1.1517947
2000-02-15,31.25,-1.75,-1.0845214
2000-02-15,31.25,-1.25,-1.3383151
2000-02-15,31.75,-9.75,-0.4000116
2000-02-15,31.75,-9.25,-0.5283082
2000-02-15,31.75,-8.75,-0.6065781
2000-02-15,31.75,-8.25,-0.69264483
2000-02-15,31.75,-7.75,-0.7880048
2000-02-15,31.75,-7.25,-1.0131068
2000-02-15,31.75,-6.75,-1.1891438
2000-02-15,31.75,-6.25,-1.4108977
2000-02-15,31.75,-5.75,-1.4798328
2000-02-15,31.75,-5.25,-1.5597324
2000-02-15,31.75,-4.75,-1.4968318
2000-02-15,31.75,-4.25,-1.3699217
2000-02-15,31.75,-3.75,-1.5673358
2000-02-15,31.75,-3.25,-1.5276152
2000-02-15,31.75,-2.75,-1.4347837
2000-02-15,31.75,-2.25,-1.1517385
2000-02-15,31.75,-1.75,-1.2466552
2000-02-15,31.75,-1.25,-1.2737803
2000-02-15,32.25,-9.25,-0.70081246
2000-02-15,32.25,-8.75,-0.6929202
2000-02-15,32.25,-8.25,-0.81524616
2000-02-15,32.25,-7.75,-0.9523906
2000-02-15,32.25,-7.25,-1.1006567
2000-02-15,32.25,-6.75,-1.2606544
2000-02-15,32.25,-6.25,-1.4794075
2000-02-15,32.25,-5.75,-1.7062763
2000-02-15,32.25,-5.25,-1.6519728
2000-02-15,32.25,-4.75,-1.7412837
2000-02-15,32.25,-4.25,-1.6438993
2000-02-15,32.25,-3.75,-1.6771653
2000-02-15,32.25,-3.25,-1.6088811
2000-02-15,32.25,-2.75,-1.5189449
2000-02-15,32.25,-2.25,-1.4495382
2000-02-15,32.25,-1.75,-1.4947188
2000-02-15,32.25,-1.25,-1.5057158
2000-02-15,32.75,-16.75,-0.6214727
2000-02-15,32.75,-9.25,-0.67249066
2000-02-15,32.75,-8.75,-0.7678426
2000-02-15,32.75,-8.25,-0.8581621
2000-02-15,32.75,-7.75,-0.9822236
2000-02-15,32.75,-7.25,-1.207644
2000-02-15,32.75,-6.75,-1.2795308
2000-02-15,32.75,-6.25,-1.5584009
2000-02-15,32.75,-5.75,-1.7103965
2000-02-15,32.75,-5.25,-1.8092029
2000-02-15,32.75,-4.75,-1.8671751
2000-02-15,32.75,-4.25,-1.776448
2000-02-15,32.75,-3.75,-1.7234439
2000-02-15,32.75,-3.25,-1.8215327
2000-02-15,32.75,-2.75,-1.6111459
2000-02-15,32.75,-2.25,-1.7228781
2000-02-15,32.75,-1.75,-1.5401583
2000-02-15,32.75,-1.25,-1.6917293
2000-02-15,33.25,-8.75,-0.83896047
2000-02-15,33.25,-8.25,-0.93646085
2000-02-15,33.25,-7.75,-1.0538524
2000-02-15,33.25,-7.25,-1.1831301
2000-02-15,33.25,-6.75,-1.4160502
2000-02-15,33.25,-6.25,-1.628911
2000-02-15,33.25,-5.75,-1.8342882
2000-02-15,33.25,-5.25,-1.949832
2000-02-15,33.25,-4.75,-1.8174953
2000-02-15,33.25,-4.25,-1.7755127
2000-02-15,33.25,-3.75,-1.7740341
2000-02-15,33.25,-3.25,-1.8012539
2000-02-15,33.25,-2.75,-1.7658229
2000-02-15,33.25,-2.25,-1.6322231
2000-02-15,33.25,-1.75,-1.6902411
2000-02-15,33.25,-1.25,-1.7664163
2000-02-15,33.75,-7.75,-1.1797341
2000-02-15,33.75,-7.25,-1.3383026
2000-02-15,33.75,-6.75,-1.6699301
2000-02-15,33.75,-6.25,-1.7529516
2000-02-15,33.75,-5.75,-1.8531724
2000-02-15,33.75,-5.25,-1.8797852
2000-02-15,33.75,-4.75,-1.7578932
2000-02-15,33.75,-4.25,-1.6258535
2000-02-15,33.75,-3.75,-1.7530302
2000-02-15,33.75,-3.25,-1.7842025
2000-02-15,33.75,-2.75,-1.811931
2000-02-15,33.75,-2.25,-1.7811549
2000-02-15,33.75,-1.75,-1.7048645
2000-02-15,33.75,-1.25,-1.6911726
2000-02-15,34.25,-6.75,-1.559634
2000-02-15,34.25,-6.25,-1.6637601
2000-02-15,34.25,-5.75,-1.7852563
2000-02-15,34.25,-5.25,-1.7617356
2000-02-15,34.25,-4.75,-1.782282
2000-02-15,34.25,-4.25,-1.7936066
2000-02-15,34.25,-3.75,-1.7533851
2000-02-15,34.25,-3.25,-1.7033424
2000-02-15,34.25,-2.75,-1.6883285
2000-02-15,34.25,-2.25,-1.6851825
2000-02-15,34.25,-1.75,-1.723472
2000-02-15,34.25,-1.25,-1.7494127
