firm_id,year,sector,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,carbon_burden_low,carbon_burden_mid,carbon_burden_high,zscore,zscore_carbon_low,zscore_carbon_mid,zscore_carbon_high,in_distress,distress_carbon_low,distress_carbon_mid,distress_carbon_high
MAR016,2020,Energie & Mines,22479.28349,44958.56698,67437.85047,0.229,0.458,0.687,18.93935483870968,18.18365483870968,17.42795483870968,16.67225483870968,0,0,0,0
MAR016,2021,Energie & Mines,22479.28349,44958.56698,67437.85047,0.229,0.458,0.687,5.676129032258065,4.920429032258065,4.164729032258065,3.409029032258065,0,0,0,0
MAR016,2022,Energie & Mines,1099095.93095,2198191.8619,3297287.7928500003,0.229,0.458,0.687,19.92,19.1643,18.4086,17.652900000000002,0,0,0,0
MAR016,2023,Energie & Mines,1153939.54399,2307879.08798,3461818.63197,0.229,0.458,0.687,14.13505376344086,13.37935376344086,12.62365376344086,11.867953763440859,0,0,0,0
MAR016,2024,Energie & Mines,1153939.54399,2307879.08798,3461818.63197,0.229,0.458,0.687,0.0357947319712621,-0.7199052680287379,-1.475605268028738,-2.231305268028738,1,1,1,1
MAR017,2021,Energie & Mines,4017463178.8127403,8034926357.625481,12052389536.438221,0.229,0.458,0.687,6.151227092265152,5.395527092265152,4.639827092265152,3.8841270922651523,0,0,0,0
MAR017,2023,Energie & Mines,4796730692.84779,9593461385.69558,14390192078.54337,0.229,0.458,0.687,6.044639768396796,5.288939768396796,4.533239768396796,3.777539768396796,0,0,0,0
MAR017,2024,Energie & Mines,4788375242.360641,9576750484.721281,14365125727.08192,0.22900000000000004,0.4580000000000001,0.687,6.1405687504559285,5.3848687504559285,4.6291687504559285,3.8734687504559284,0,0,0,0
MAR019,2019,Energie & Mines,1841.16,3682.32,5523.4800000000005,0.229,0.458,0.687,1.628622929140621,0.8729229291406209,0.11722292914062082,-0.6384770708593792,1,1,1,1
MAR019,2021,Energie & Mines,18.778000000000002,37.556000000000004,56.334,0.22900000000000004,0.4580000000000001,0.687,5.689660879239924,4.933960879239924,4.178260879239924,3.4225608792399242,0,0,0,0
MAR019,2023,Energie & Mines,137.4,274.8,412.20000000000005,0.229,0.458,0.687,6.237320050554587,5.481620050554587,4.725920050554587,3.9702200505545866,0,0,0,0
MAR020,2021,Distribution & Commerce,172556503162.0613,345113006324.1226,517669509486.1839,0.013750000000000002,0.027500000000000004,0.04125,11.015259182832583,10.969884182832583,10.924509182832583,10.879134182832583,0,0,0,0
