firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed
MAR021,Auto Hall,Distribution & Commerce,Casablanca-Settat,2019,770.843,345.862,592.698,9662372.23,325.3,480.48,170.874,522.6533999999999,AUTO,2000
MAR021,Auto Hall,Distribution & Commerce,Casablanca-Settat,2020,1854209766.0765,104826403.171,50321885.412,3785705.31,161.745,381894902.754,353.462,,AUTO,2000
MAR021,Auto Hall,Distribution & Commerce,Casablanca-Settat,2021,3708418761.31,239.472,294.683,279354.25,161.745,488.206,353.462,6675152891.5872,AUTO,2000
MAR021,Auto Hall,Distribution & Commerce,Casablanca-Settat,2022,1854209389.655,831.056,566.699,11511843.78,163970115818.0,577.871,38489993543248.0,,AUTO,2000
MAR021,Auto Hall,Distribution & Commerce,Casablanca-Settat,2023,18.0,14.4,541218202.52,1176999.6,115.818,16.2,543.248,10.0,AUTO,2000
MAR021,Auto Hall,Distribution & Commerce,Casablanca-Settat,2024,6313507887.33,1975043925.85,551437811.61,70238461.59,2199347006113.73,1912923856.36,355785336553382.75,7921051255.746,AUTO,2000
MAR024,Stokvis Nord Afrique,Distribution & Commerce,Casablanca-Settat,2019,788873923854.0,319665509.74,237269093.6,5079426.0,-12344.0,520319994.12,11.0,1419036486947.784,SNO,2000
MAR024,Stokvis Nord Afrique,Distribution & Commerce,Casablanca-Settat,2020,764955788873.0,341.102,264.054,79.426,641.0,524.798,57.303,1376920419026.7637,SNO,2000
MAR024,Stokvis Nord Afrique,Distribution & Commerce,Casablanca-Settat,2023,488.77,333.593,444.869,79.426,-84.421,439.893,37.202,10.0,SNO,2000
MAR024,Stokvis Nord Afrique,Distribution & Commerce,Casablanca-Settat,2024,488.77,328.768,300.441,240.396,-16.638,439.893,21.265,,SNO,2000
MAR025,Maghreb Oxygène,Distribution & Commerce,Casablanca-Settat,2019,499454474810.0,194388921.89,97374368.95,28.651,19157207268.0,735056717.74,2018.0,897694952566.068,MOX,2000
MAR025,Maghreb Oxygène,Distribution & Commerce,Casablanca-Settat,2020,520999499454.0,209652465.24,100643506.77,37903949.11,2072616993.0,763789280.71,2436442509913.0,936424278311.922,MOX,2000
MAR025,Maghreb Oxygène,Distribution & Commerce,Casablanca-Settat,2021,546779520999.0,204194818.97,113891571.24,25.0,16993180987.0,793777230.21,25099127732310.0,982774338783.822,MOX,2000
MAR025,Maghreb Oxygène,Distribution & Commerce,Casablanca-Settat,2022,539597546779.0,194725418.16,100318224.62,17.0,1809817419.0,802328000.42,2773232947566.0,969831393801.4441,MOX,2000
MAR025,Maghreb Oxygène,Distribution & Commerce,Casablanca-Settat,2023,522323539597.0,195036504.92,82085567.37,112105500.0,7002457.81,827866769.75,120215919.5,938692211089.05,MOX,2000
MAR025,Maghreb Oxygène,Distribution & Commerce,Casablanca-Settat,2024,545117522323.0,24.5,87287594.18,298835.03,56968420.0,843897065.01,174917051.97,979692525464.382,MOX,2000
MAR027,Résidences Dar Saada,Immobilier,Casablanca-Settat,2022,127.145,101.71600000000001,75.419,819.76,29895775753.831497,114.4305,543.106,10.0,RDS,2014
MAR029,Colorado,Immobilier,Casablanca-Settat,2019,573.8,459.03999999999996,10789842.02,37498254.56,62764622440.8,516.42,500451524557.0,10.0,COL,2006
MAR029,Colorado,Immobilier,Casablanca-Settat,2021,648.4,192.9,26.9,33161036.68,551494113034.1,583.56,57406446161924.4,10.0,COL,2006
MAR029,Colorado,Immobilier,Casablanca-Settat,2022,542.0,200.0,2022.0,32.0,59791551488.42,487.8,6099195740646.25,10.0,COL,2006
MAR029,Colorado,Immobilier,Casablanca-Settat,2023,546.5,169.0,43.84,20000000.0,64946597918.6,491.85,602130621.0,10.0,COL,2006
MAR029,Colorado,Immobilier,Casablanca-Settat,2024,569.4,169.0,43.84,92802642.8,93.2,58.7,605.0,766.05,COL,2006
MAR030,Immorente Invest,Immobilier,Casablanca-Settat,2019,808.642,646.9136000000001,10789842.02,-3204488.44,62764622440.8,727.7778000000001,11.0,,IMO,2019
MAR030,Immorente Invest,Immobilier,Casablanca-Settat,2021,808.642,46.595,12.979,798.0,23.401,727.7778000000001,70.104,10.0,IMO,2019
MAR030,Immorente Invest,Immobilier,Casablanca-Settat,2022,808.671,31.893,967.572,7272.798,19.243,727.8039000000001,67.055,10.0,IMO,2019
MAR030,Immorente Invest,Immobilier,Casablanca-Settat,2023,986954.0,2.0,376.266,220935250431.0,49.381,888258.6,72.215,10.0,IMO,2019
MAR030,Immorente Invest,Immobilier,Casablanca-Settat,2024,1204.39,963.5120000000002,545.358,843.949,44.593,1083.951,694.116,10.0,IMO,2019
MAR031,Maroc Telecom,Telecom & Technologies,Rabat-Sale-Kenitra,2019,626826213164851.0,501460970531880.8,1321368213136149.0,485443834069.0,10310110528231.0,-491.0,349633603236517.0,2193891746078697.0,IAM,2004
MAR031,Maroc Telecom,Telecom & Technologies,Rabat-Sale-Kenitra,2020,635406485162131.0,508325188129704.8,1.302606713213682e+23,31.0,12018823111052.0,-871.0,100.0,2223922698070507.0,IAM,2004
MAR031,Maroc Telecom,Telecom & Technologies,Rabat-Sale-Kenitra,2021,617826354064851.0,494261083251880.8,1.2446563130260671e+23,31.0,11573120188231.0,-800.0,67.66666666666666,2162392239229778.5,IAM,2004
MAR031,Maroc Telecom,Telecom & Technologies,Rabat-Sale-Kenitra,2022,655306178263540.0,524244942610832.0,1.2871856124465633e+23,31.0,89871157312018.0,-688.0,35.33333333333333,2293571623924798.0,IAM,2004
MAR031,Maroc Telecom,Telecom & Technologies,Rabat-Sale-Kenitra,2023,655436553061782.0,524349242449425.6,1.179405712871856e+23,10.0,11605898711573.0,-850.0,3.0,2294027935719212.0,IAM,2004
MAR031,Maroc Telecom,Telecom & Technologies,Rabat-Sale-Kenitra,2024,655306554370374.0,524245243496299.25,1071868011794057.0,587065687832.0,2024.0,-688.0,910792381.4,2293572940298717.0,IAM,2004
MAR032,HPS,Telecom & Technologies,Casablanca-Settat,2019,2022.0,1617.6000000000001,6.240718296240918e+17,2.177972551622819e+17,1.2691942311091298e+19,1819.8,6.025594956583796e+16,,HPS,2000
MAR032,HPS,Telecom & Technologies,Casablanca-Settat,2021,2022.0,2021.0,6.235808865715903e+17,58.0,1.4443150212052718e+19,1819.8,20212020.0,,HPS,2000
MAR032,HPS,Telecom & Technologies,Casablanca-Settat,2022,2022.0,1617.6000000000001,7.460199846235809e+17,2.9831090443284856e+25,1.634584081444315e+19,1819.8,20222021.0,,HPS,2000
MAR032,HPS,Telecom & Technologies,Casablanca-Settat,2023,2022.0,1617.6000000000001,59613355203754.0,3.415957625070565e+25,1.963536111634584e+19,1819.8,1191.5,10.0,HPS,2000
MAR032,HPS,Telecom & Technologies,Casablanca-Settat,2024,2.21711283916178e+19,1.5829150001311644e+19,8.731614597385289e+17,3.923014123506439e+25,1.535654011963536e+17,9.499304508617004e+17,1267.4,7.427419279264635e+19,HPS,2000
MAR033,Disway,Telecom & Technologies,Casablanca-Settat,2021,98.253,78.6024,261030500.92,113.123,130.804,88.4277,2021.0,10.0,DIS,2008
MAR033,Disway,Telecom & Technologies,Casablanca-Settat,2022,445.195,356.156,360336761.54,132.907,86.283,400.6755,2022.0,10.0,DIS,2008
MAR033,Disway,Telecom & Technologies,Casablanca-Settat,2023,221.112,176.8896,213986104.74,123.786,94.029,199.0008,2023.0,10.0,DIS,2008
MAR033,Disway,Telecom & Technologies,Casablanca-Settat,2024,280.91,224.72800000000004,243524168.58,114.139,76.456,252.81900000000002,2024.0,10.0,DIS,2008
MAR034,M2M Group,Telecom & Technologies,Casablanca-Settat,2021,2.8431071130795533e+17,178809730.33,30277980.09,185894286.48,-28726143.28,241339566.56,4240107264053821.0,,M2M,2016
MAR034,M2M Group,Telecom & Technologies,Casablanca-Settat,2022,2.8431071130795533e+17,173163812.35,35895139.64,175687450.02,-45334315.84,243595706.43,4004526042401072.0,9.950874887252586e+17,M2M,2016
MAR034,M2M Group,Telecom & Technologies,Casablanca-Settat,2023,2.8431071130795533e+17,171326108.55,33737715.04,161231609.38,-10333150.9,263478932.48,49002809.32,,M2M,2016
MAR034,M2M Group,Telecom & Technologies,Casablanca-Settat,2024,2.8431071130795533e+17,168877584.65,32386463.0,157876682.82,5246162.83,265480588.69,55935251.42,,M2M,2016
MAR035,CTM,Transport & Logistique,Casablanca-Settat,2020,341158422352.0,176585264793.0,110709170322.0,2.192901578046149e+16,-7593682913.0,307042580116.8,20587078.69,10.0,CTM,2000
MAR035,CTM,Transport & Logistique,Casablanca-Settat,2021,320285341158.0,256228272926.40002,1.333591107092265e+16,136667219290.0,25438.0,122293152285.0,35732588.0,376185158858.7,CTM,2000
MAR035,CTM,Transport & Logistique,Casablanca-Settat,2022,295251320285.0,236201056228.0,1.908091333595745e+16,19041904.0,-105814417.0,42785696.0,40483284.9,560896215719.1,CTM,2000
